accommodates,bedrooms,beds,bathrooms,room_type,property_type,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,number_of_reviews,reviews_per_month,latitude,longitude,location,price_clean,has_reviews
2,2,2,1.0,Entire home/apt,Entire guesthouse,4.98,4.95,4.98,4.9,186,2.14,39.766414642333984,-105.0020980834961,Denver,139,1
3,1,1,1.5,Entire home/apt,Entire loft,4.85,4.81,4.65,4.71,87,0.44,39.76672,-104.97906,Denver,213,1
2,1,1,1.0,Private room,Private room in home,4.89,4.61,4.84,4.88,201,0.99,39.75481,-104.91106,Denver,46,1
1,1,2,1.0,Private room,Private room in home,4.77,4.8,4.87,4.82,252,1.21,39.74695,-104.97838,Denver,40,1
2,0,1,1.0,Entire home/apt,Entire guesthouse,4.97,4.98,4.89,4.9,244,2.31,39.72020510811656,-104.99749898910522,Denver,87,1
2,1,1,1.0,Entire home/apt,Entire guest suite,4.9,4.98,4.89,4.87,191,1.04,39.76179,-105.02845,Denver,77,1
2,1,1,1.0,Entire home/apt,Entire cottage,4.93,4.94,4.86,4.86,771,4.18,39.76605337851223,-105.00307815462764,Denver,140,1
2,1,1,1.0,Private room,Private room in home,4.93,4.95,4.93,4.93,303,1.81,39.7495,-104.93362,Denver,90,1
2,1,1,1.0,Entire home/apt,Entire condo,4.77,4.77,4.92,4.69,14,0.08,39.74439,-104.98927,Denver,102,1
1,1,1,1.0,Private room,Private room in rental unit,4.7,4.73,4.77,4.73,133,0.77,39.7435,-104.93753,Denver,36,1
6,3,4,2.5,Entire home/apt,Entire townhouse,4.8,4.64,4.88,4.72,145,0.88,39.69845,-104.98073,Denver,165,1
4,1,1,1.0,Private room,Private room in townhouse,4.99,4.94,4.93,4.94,210,1.69,39.7172,-104.99767,Denver,68,1
2,1,1,1.5,Private room,Private room in home,4.88,4.81,4.88,4.86,447,2.77,39.74348,-104.97089,Denver,59,1
4,2,3,2.0,Entire home/apt,Entire home,4.88,4.77,4.79,4.78,102,0.63,39.76574,-104.95379,Denver,102,1
4,2,2,1.0,Entire home/apt,Entire loft,4.59,4.42,4.53,4.28,37,0.27,39.76561,-104.97945,Denver,191,1
4,2,2,2.0,Entire home/apt,Entire townhouse,4.88,4.9,4.95,4.88,154,1.04,39.76468,-105.00883,Denver,129,1
6,3,3,2.5,Entire home/apt,Entire home,4.97,5.0,4.96,4.9,249,1.57,39.75706,-104.88374,Denver,197,1
2,2,2,1.0,Entire home/apt,Entire bungalow,4.99,4.98,4.98,4.97,172,3.08,39.69381,-104.98364,Denver,157,1
8,3,6,2.5,Entire home/apt,Entire home,4.96,4.9,4.9,4.87,211,1.34,39.759,-104.98106,Denver,376,1
2,1,1,1.5,Private room,Private room in townhouse,4.97,5.0,4.93,4.93,90,0.71,39.72535,-104.89616,Denver,65,1
4,2,2,1.0,Entire home/apt,Entire guest suite,4.9,4.93,4.83,4.89,442,2.87,39.74027,-104.91516,Denver,75,1
4,2,2,1.0,Private room,Private room in home,4.86,4.95,5.0,4.77,22,0.14,39.75132,-104.93423,Denver,180,1
1,1,1,1.0,Entire home/apt,Entire rental unit,4.83,4.93,4.95,4.76,42,0.27,39.74245,-104.9681,Denver,52,1
